Model,min,max,median,mean,sd,Model,min,max,median,mean,sd
svmRadial,0.695501487690494,0.695501487690494,0.695501487690494,NA,0,Linda,0.713577799801784,0.713577799801784,0.713577799801784,NA,0
parRF,0.696448293483009,0.696448293483009,0.696448293483009,NA,0,svmRadialWeights,0.714083843617522,0.714083843617522,0.714083843617522,NA,0
rotationForest,0.69698608741521,0.69698608741521,0.69698608741521,NA,0,gbm,0.714905933429812,0.714905933429812,0.714905933429812,NA,0
qda,0.697156079750101,0.697156079750101,0.697156079750101,NA,0,rotationForestCp,0.715525554484089,0.715525554484089,0.715525554484089,NA,0
rf,0.697582605972191,0.697582605972191,0.697582605972191,NA,0,kernelpls,0.715545243619489,0.715545243619489,0.715545243619489,NA,0
cforest,0.698689101533846,0.698689101533846,0.698689101533846,NA,0,simpls,0.715545243619489,0.715545243619489,0.715545243619489,NA,0
gbm,0.699695147079429,0.699695147079429,0.699695147079429,NA,0,widekernelpls,0.715545243619489,0.715545243619489,0.715545243619489,NA,0
rotationForestCp,0.700177307156574,0.700177307156574,0.700177307156574,NA,0,svmRadialSigma,0.716417910447761,0.716417910447761,0.716417910447761,NA,0
ranger,0.70057962234915,0.70057962234915,0.70057962234915,NA,0,rotationForest,0.716531681753216,0.716531681753216,0.716531681753216,NA,0
svmRadialSigma,0.700607439276677,0.700607439276677,0.700607439276677,NA,0,svmRadial,0.717997165800661,0.717997165800661,0.717997165800661,NA,0
C5.0Cost,0.700891790091404,0.700891790091404,0.700891790091404,NA,0,qda,0.71875,0.71875,0.71875,NA,0
ordinalNet,0.703868201336861,0.703868201336861,0.703868201336861,NA,0,glmboost,0.723091076356946,0.723091076356946,0.723091076356946,NA,0
gaussprPoly,0.706226973765547,0.706226973765547,0.706226973765547,NA,0,RFlda,0.724878048780488,0.724878048780488,0.724878048780488,NA,0
Linda,0.707732178621764,0.707732178621764,0.707732178621764,NA,0,mlpML,0.725490196078431,0.725490196078431,0.725490196078431,NA,0
RFlda,0.714014168088421,0.714014168088421,0.714014168088421,NA,0,monmlp,0.726550868486352,0.726550868486352,0.726550868486352,NA,0
mlpML,0.7163070040963,0.7163070040963,0.7163070040963,NA,0,mlp,0.726915520628684,0.726915520628684,0.726915520628684,NA,0
plsRglm,0.716921037015058,0.716921037015058,0.716921037015058,NA,0,mlpWeightDecayML,0.73022113022113,0.73022113022113,0.73022113022113,NA,0
mlp,0.718443756233052,0.718443756233052,0.718443756233052,NA,0,ordinalNet,0.730321378667909,0.730321378667909,0.730321378667909,NA,0
lssvmRadial,0.721340322593939,0.721340322593939,0.721340322593939,NA,0,plsRglm,0.731566265060241,0.731566265060241,0.731566265060241,NA,0
monmlp,0.721530920060332,0.721530920060332,0.721530920060332,NA,0,mlpWeightDecay,0.732449680903289,0.732449680903289,0.732449680903289,NA,0
mlpWeightDecayML,0.722026988601241,0.722026988601241,0.722026988601241,NA,0,gaussprPoly,0.733519034354689,0.733519034354689,0.733519034354689,NA,0
svmPoly,0.723164906988436,0.723164906988436,0.723164906988436,NA,0,loclda,0.739025566811384,0.739025566811384,0.739025566811384,NA,0
mlpWeightDecay,0.724007656866866,0.724007656866866,0.724007656866866,NA,0,dwdRadial,0.742120343839542,0.742120343839542,0.742120343839542,NA,0
dwdRadial,0.725065730369491,0.725065730369491,0.725065730369491,NA,0,lssvmRadial,0.742452830188679,0.742452830188679,0.742452830188679,NA,0
loclda,0.72510384986277,0.72510384986277,0.72510384986277,NA,0,svmPoly,0.745300751879699,0.745300751879699,0.745300751879699,NA,0
gamLoess,0.733924906658754,0.733924906658754,0.733924906658754,NA,0,gamLoess,0.746369796708616,0.746369796708616,0.746369796708616,NA,0
gaussprLinear,0.738992738751659,0.738992738751659,0.738992738751659,NA,0,gaussprLinear,0.748412310698583,0.748412310698583,0.748412310698583,NA,0
svmLinear2,0.740439218983096,0.740439218983096,0.740439218983096,NA,0,svmLinear2,0.750243902439024,0.750243902439024,0.750243902439024,NA,0
svmLinearWeights,0.740439218983096,0.740439218983096,0.740439218983096,NA,0,svmLinearWeights,0.750243902439024,0.750243902439024,0.750243902439024,NA,0
svmLinear,0.742797991411781,0.742797991411781,0.742797991411781,NA,0,msaenet,0.752066115702479,0.752066115702479,0.752066115702479,NA,0
svmLinear3,0.750432707761541,0.750432707761541,0.750432707761541,NA,0,svmLinear,0.753524550315994,0.753524550315994,0.753524550315994,NA,0
svmLinearWeights2,0.750432707761541,0.750432707761541,0.750432707761541,NA,0,svmLinear3,0.757977417771232,0.757977417771232,0.757977417771232,NA,0
dwdPoly,0.753273640267372,0.753273640267372,0.753273640267372,NA,0,svmLinearWeights2,0.757977417771232,0.757977417771232,0.757977417771232,NA,0
sda,0.755802405030949,0.755802405030949,0.755802405030949,NA,0,dwdPoly,0.761858190709047,0.761858190709047,0.761858190709047,NA,0
bayesglm,0.755840524524227,0.755840524524227,0.755840524524227,NA,0,bayesglm,0.764187866927593,0.764187866927593,0.764187866927593,NA,0
regLogistic,0.756374712558415,0.756374712558415,0.756374712558415,NA,0,regLogistic,0.764561918746941,0.764561918746941,0.764561918746941,NA,0
glmnet,0.758785512944144,0.758785512944144,0.758785512944144,NA,0,sda,0.767070217917676,0.767070217917676,0.767070217917676,NA,0
msaenet,0.759666382315852,0.759666382315852,0.759666382315852,NA,0,glmnet,0.767578125,0.767578125,0.767578125,NA,0
dwdLinear,0.763541177294794,0.763541177294794,0.763541177294794,NA,0,dwdLinear,0.771190592846644,0.771190592846644,0.771190592846644,NA,0
randomGLM,0.764621059691482,0.764621059691482,0.764621059691482,NA,0,randomGLM,0.772680937818553,0.772680937818553,0.772680937818553,NA,0
gamSpline,0.766173997972455,0.766173997972455,0.766173997972455,NA,0,gamSpline,0.775887214389888,0.775887214389888,0.775887214389888,NA,0
glm,0.766173997972455,0.766173997972455,0.766173997972455,NA,0,glm,0.775887214389888,0.775887214389888,0.775887214389888,NA,0
plr,0.766173997972455,0.766173997972455,0.766173997972455,NA,0,plr,0.775887214389888,0.775887214389888,0.775887214389888,NA,0
vglmAdjCat,0.766173997972455,0.766173997972455,0.766173997972455,NA,0,vglmAdjCat,0.775887214389888,0.775887214389888,0.775887214389888,NA,0
vglmCumulative,0.766173997972455,0.766173997972455,0.766173997972455,NA,0,vglmCumulative,0.775887214389888,0.775887214389888,0.775887214389888,NA,0
lda,0.767568450246849,0.767568450246849,0.767568450246849,NA,0,lda,0.777885548011639,0.777885548011639,0.777885548011639,NA,0
lda2,0.767568450246849,0.767568450246849,0.767568450246849,NA,0,lda2,0.777885548011639,0.777885548011639,0.777885548011639,NA,0
pda,0.767568450246849,0.767568450246849,0.767568450246849,NA,0,pda,0.777885548011639,0.777885548011639,0.777885548011639,NA,0
rda,0.767568450246849,0.767568450246849,0.767568450246849,NA,0,rda,0.777885548011639,0.777885548011639,0.777885548011639,NA,0
spls,0.767568450246849,0.767568450246849,0.767568450246849,NA,0,spls,0.777885548011639,0.777885548011639,0.777885548011639,NA,0
glmStepAIC,0.768792910186353,0.768792910186353,0.768792910186353,NA,0,glmStepAIC,0.777994157740993,0.777994157740993,0.777994157740993,NA,0
vglmContRatio,0.775140836073816,0.775140836073816,0.775140836073816,NA,0,vglmContRatio,0.790299572039943,0.790299572039943,0.790299572039943,NA,0
