fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,e_fg_percent,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,playoffs
192.9230769,491.9230769,0.396615385,0,0,0,192.9230769,491.9230769,0.396615385,0.396615385,168.9230769,224.0769231,0,0,307.6923077,123.8461538,0,0,0,147.9230769,554.7692308,TRUE
240.0909091,585.1818182,0.396909091,0,0,0,240.0909091,585.1818182,0.396909091,0.396909091,194.7272727,257.1818182,0,0,354.2727273,171.4545455,0,0,0,170.1818182,674.9090909,TRUE
199.4615385,540.3076923,0.328692308,0,0,0,199.4615385,540.3076923,0.328692308,0.328692308,139.3076923,197.6923077,0,0,325.7692308,141.1538462,0,0,0,154.6153846,538.2307692,FALSE
175.6428571,462.7857143,0.3525,0,0,0,175.6428571,462.7857143,0.3525,0.3525,137.6428571,196.9285714,0,0,288.3571429,118.4285714,0,0,0,138.9285714,488.9285714,TRUE
246.6,666.1,0.3665,0,0,0,246.6,666.1,0.3665,0.3665,204.4,270.3,0,0,374.6,171,0,0,0,178.3,697.6,TRUE
234,610.5,0.373833333,0,0,0,234,610.5,0.373833333,0.373833333,165.25,220.3333333,0,0,381.5,122,0,0,0,154.25,633.25,TRUE
194.7692308,508.6153846,0.362846154,0,0,0,194.7692308,508.6153846,0.362846154,0.362846154,144.1538462,193.0769231,0,0,299.6923077,107.5384615,0,0,0,126.3846154,533.6923077,TRUE
234.9090909,633.1818182,0.348363636,0,0,0,234.9090909,633.1818182,0.348363636,0.348363636,199.5454545,263.5454545,0,0,372.9090909,108.4545455,0,0,0,171.5454545,669.3636364,TRUE
183.4285714,474.9285714,0.359071429,0,0,0,183.4285714,474.9285714,0.359071429,0.359071429,151.2142857,203.1428571,0,0,298.8571429,93.71428571,0,0,0,130.2857143,518.0714286,FALSE
198.7692308,502.5384615,0.374076923,0,0,0,198.7692308,502.5384615,0.374076923,0.374076923,158.6153846,204.4615385,0,0,294.6923077,112.8461538,0,0,0,133.2307692,556.1538462,TRUE
193.4615385,523.6153846,0.371846154,0,0,0,193.4615385,523.6153846,0.371846154,0.371846154,130.6153846,184.7692308,0,0,291.8461538,99.84615385,0,0,0,143.5384615,517.5384615,FALSE
170.4,444.1333333,0.351666667,0,0,0,170.4,444.1333333,0.351666667,0.351666667,131.6666667,180.5333333,0,0,273.7333333,96.8,0,0,0,123.1333333,472.4666667,TRUE
159.4375,432.375,0.322875,0,0,0,159.4375,432.375,0.322875,0.322875,129.8125,163.4375,0,0,248.375,80.25,0,0,0,113.125,448.6875,TRUE
273.2727273,705.3636364,0.378636364,0,0,0,273.2727273,705.3636364,0.378636364,0.378636364,173.0909091,235,0,0,438.5454545,137.0909091,0,0,0,156.6363636,719.6363636,TRUE
234.75,611.5833333,0.364666667,0,0,0,234.75,611.5833333,0.364666667,0.364666667,140.6666667,197.6666667,0,0,362.3333333,131.5,0,0,0,152.9166667,610.1666667,TRUE
171.625,455.9375,0.3546875,0,0,0,171.625,455.9375,0.3546875,0.3546875,130.8125,173.375,0,0,274.0625,79,0,0,0,112.9375,474.0625,TRUE
177.3333333,479.4666667,0.3294,0,0,0,177.3333333,479.4666667,0.3294,0.3294,149.7333333,200.4666667,0,0,292.4,88.13333333,0,0,0,132.1333333,504.4,FALSE
206,521.9285714,0.349928571,0,0,0,206,521.9285714,0.349928571,0.349928571,164.2857143,218.2857143,0,0,333.3571429,97.07142857,0,0,0,133.2142857,576.2857143,FALSE
212.6923077,559.6923077,0.326153846,0,0,0,212.6923077,559.6923077,0.326153846,0.326153846,152.0769231,199.6923077,0,0,328.2307692,110.8461538,0,0,0,135.6153846,577.4615385,TRUE
213.7692308,550.9230769,0.363384615,0,0,0,213.7692308,550.9230769,0.363384615,0.363384615,167.6923077,234.3846154,0,0,361.4615385,118.5384615,0,0,0,143.7692308,595.2307692,TRUE
256.6363636,666.9090909,0.365090909,0,0,0,256.6363636,666.9090909,0.365090909,0.365090909,188.6363636,237.9090909,0,0,385.2727273,118,0,0,0,165.4545455,701.9090909,TRUE
291.5454545,737.8181818,0.381181818,0,0,0,291.5454545,737.8181818,0.381181818,0.381181818,178.4545455,232.9090909,0,0,459.5454545,142.5454545,0,0,0,160.8181818,761.5454545,TRUE
203.2857143,523.2857143,0.377142857,0,0,0,203.2857143,523.2857143,0.377142857,0.377142857,122.3571429,169.6428571,0,0,295.6428571,97.57142857,0,0,0,132.3571429,528.9285714,FALSE
234.1666667,608.5,0.383833333,0,0,0,234.1666667,608.5,0.383833333,0.383833333,161.9166667,218.9166667,0,0,343.75,109.75,0,0,0,156.75,630.25,TRUE
277.9,708.4,0.3903,0,0,0,277.9,708.4,0.3903,0.3903,207.1,271.8,0,0,437.2,137.3,0,0,0,187.4,762.9,TRUE
204.4285714,512.2857143,0.351714286,0,0,0,204.4285714,512.2857143,0.351714286,0.351714286,158.3571429,200.1428571,0,0,302.4285714,98.85714286,0,0,0,135.4285714,567.2142857,TRUE
202.4285714,531.0714286,0.3725,0,0,0,202.4285714,531.0714286,0.3725,0.3725,127.3571429,173.1428571,0,0,303,98.42857143,0,0,0,127.2142857,532.2142857,FALSE
221.4615385,539.6153846,0.428769231,0,0,0,221.4615385,539.6153846,0.428769231,0.428769231,159.3846154,212.0769231,0,0,339.6923077,120.5384615,0,0,0,149,602.3076923,TRUE
234.6153846,576.3846154,0.448230769,0,0,0,234.6153846,576.3846154,0.448230769,0.448230769,157.3846154,203.3076923,0,0,323.9230769,103,0,0,0,150.8461538,626.6153846,TRUE
312,748.4166667,0.418833333,0,0,0,312,748.4166667,0.418833333,0.418833333,154.0833333,209.8333333,0,0,447.0833333,154.0833333,0,0,0,153.5,778.0833333,TRUE
246.9230769,600.9230769,0.396230769,0,0,0,246.9230769,600.9230769,0.396230769,0.396230769,147.1538462,206.3846154,0,0,348.3846154,133.6153846,0,0,0,161.1538462,641,FALSE
242.3076923,613.0769231,0.376846154,0,0,0,242.3076923,613.0769231,0.376846154,0.376846154,160,211.6923077,0,0,345.2307692,113.3846154,0,0,0,152.6923077,644.6153846,TRUE
178.7647059,465.4117647,0.380294118,0,0,0,178.7647059,465.4117647,0.380294118,0.380294118,115.8823529,159,0,0,274.1176471,83.76470588,0,0,0,111.8235294,473.4117647,TRUE
214.3125,509.1875,0.387,0,0,0,214.3125,509.1875,0.387,0.387,121.375,158.6875,0,0,307.875,105.125,0,0,0,119.375,550,FALSE
322.6363636,788.9090909,0.385818182,0,0,0,322.6363636,788.9090909,0.385818182,0.385818182,163.3636364,244.1818182,0,0,478.6363636,162.0909091,0,0,0,155.1818182,808.6363636,TRUE
211.9333333,499.4666667,0.398533333,0,0,0,211.9333333,499.4666667,0.398533333,0.398533333,143.2,192.9333333,0,0,306.8,126.4,0,0,0,133.4,567.0666667,TRUE
243.2857143,587.9285714,0.353714286,0,0,0,243.2857143,587.9285714,0.353714286,0.353714286,150,190.1428571,0,0,331.2142857,120.5714286,0,0,0,138.5,636.5714286,TRUE
336.2727273,845,0.391636364,0,0,0,336.2727273,845,0.391636364,0.391636364,187.4545455,255.8181818,0,0,507.4545455,170.1818182,0,0,0,184.7272727,860,TRUE
302.1666667,690.0833333,0.41225,0,0,0,302.1666667,690.0833333,0.41225,0.41225,171.5,229.25,0,0,406,175.5833333,0,0,0,179.9166667,775.8333333,FALSE
290.0833333,696.4166667,0.402833333,0,0,0,290.0833333,696.4166667,0.402833333,0.402833333,200.6666667,270,0,0,408.5833333,155.5,0,0,0,179.75,780.8333333,TRUE
283.4166667,702.5,0.357833333,0,0,0,283.4166667,702.5,0.357833333,0.357833333,183.6666667,249.9166667,0,0,431.4166667,144,0,0,0,170.25,750.5,TRUE
213.875,521.75,0.3771875,0,0,0,213.875,521.75,0.3771875,0.3771875,133.4375,180.5,0,0,299.1875,113.875,0,0,0,138.9375,561.1875,FALSE
342.5454545,807.5454545,0.372363636,0,0,0,342.5454545,807.5454545,0.372363636,0.372363636,183.8181818,282.5454545,0,0,479.6363636,178.0909091,0,0,0,176,868.9090909,TRUE
278.3076923,676.5384615,0.402692308,0,0,0,278.3076923,676.5384615,0.402692308,0.402692308,165.1538462,224.6923077,0,0,402.1538462,164.3076923,0,0,0,164.2307692,721.7692308,TRUE
304.5,730.5,0.386916667,0,0,0,304.5,730.5,0.386916667,0.386916667,189.8333333,245.6666667,0,0,408.9166667,148.8333333,0,0,0,190,798.8333333,TRUE
321.25,759.0833333,0.410916667,0,0,0,321.25,759.0833333,0.410916667,0.410916667,164.75,226.25,0,0,443.8333333,170.75,0,0,0,159.0833333,807.25,TRUE
