fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,e_fg_percent,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,teamChemistry,playoffs
96.53333333,257.3,0.248883333,0,0,0,90.86666667,265.7666667,0.222533333,0.201716667,108.7916667,159.6375,0,0,165.8291667,66.61666667,0,0,0,124.0208333,361.0541667,330,TRUE
65.03684211,162.3473684,0.217723684,0,0,0,64.01052632,180.7,0.196784211,0.178810526,52.66842105,85.54210526,0,0,122.1710526,38.07368421,0,0,0,66.39473684,211.2894737,390,FALSE
125.0272727,305.0363636,0.261436364,0,0,0,114.8909091,308.4454545,0.227018182,0.194990909,103.0727273,152.2727273,0,0,196.2272727,87.54545455,0,0,0,121.7954545,408.15,284,TRUE
85.8,220.3214286,0.246967857,0,0,0,80.07142857,226.9428571,0.220882143,0.199721429,75.12142857,110.45,0,0,160.175,61.47142857,0,0,0,83.18928571,286.1035714,342,TRUE
55.82777778,165.6333333,0.240841667,0,0,0,52.06666667,161.3,0.215308333,0.19015,48.13333333,76.28055556,0,0,106.0361111,36.82777778,0,0,0,67.78611111,198.2666667,378,FALSE
118.7272727,292.3272727,0.238727273,0,0,0,116.8727273,324.4090909,0.212831818,0.188254545,85.44545455,128.1818182,0,0,212.65,63.25454545,0,0,0,124.7454545,381.5181818,342,TRUE
84.72307692,225.7307692,0.227215385,0,0,0,79.47692308,226.3230769,0.198761538,0.177792308,79.99230769,123.6653846,0,0,162.1846154,61.8,0,0,0,95.77692308,309.5038462,392,TRUE
109.05,258.2166667,0.1975125,0,0,0,104.6666667,291.5,0.1700875,0.1487,83.625,131.1083333,0,0,176.0333333,73.18333333,0,0,0,100,333.825,266,FALSE
113.3363636,295.7727273,0.296595455,0,0,0,103.4,300.4454545,0.267427273,0.246209091,98.41818182,151.0045455,0,0,184.7136364,75.83636364,0,0,0,118.7545455,373.1227273,290,TRUE
91,236.3714286,0.240257143,0,0,0,84.04285714,247.9571429,0.207285714,0.178657143,85.67142857,128.425,0,0,155.9714286,60.1,0,0,0,91.53571429,305.5964286,324,TRUE
25.77272727,67.14545455,0.293590909,0,0,0,26.07272727,75.83636364,0.275072727,0.258145455,22.65454545,32.64545455,0,0,36.53181818,17.38181818,0,0,0,21.15909091,76.44090909,136,FALSE
131.5416667,323.1083333,0.2347,0,0,0,121.3,327.85,0.203945833,0.1771,108.4333333,149.5583333,0,0,206.7875,87.78333333,0,0,0,107.6166667,433.1958333,284,TRUE
110.25,280.425,0.2612875,0,0,0,106.45,285.425,0.226966667,0.195483333,96.35833333,144.9375,0,0,184.1875,78.25,0,0,0,101.75,390.6041667,270,TRUE
76.12941176,202.0764706,0.189291176,0,0,0,72.14117647,208.1647059,0.163661765,0.142070588,62.96470588,99.19411765,0,0,139.9705882,45.01764706,0,0,0,77.47352941,261.2794118,380,FALSE
123.3,303.9583333,0.249275,0,0,0,117.5333333,315.9083333,0.2165,0.189708333,90.04166667,133.6166667,0,0,188.675,67.76666667,0,0,0,110.3916667,406.3,308,TRUE
88.2875,221.89375,0.258684375,0,0,0,83.7625,227.5,0.2374125,0.21889375,68.5125,105.81875,0,0,158.459375,62.83125,0,0,0,69.93125,296.653125,408,TRUE
95.52666667,236.6666667,0.2207,0,0,0,91.92,253.9266667,0.192006667,0.169766667,78.16,117.1633333,0,0,166.6766667,65.32666667,0,0,0,79.39333333,316.9766667,408,FALSE
132.1818182,320.5454545,0.274418182,0,0,0,122.5454545,329.9272727,0.244036364,0.213490909,96.25454545,144.4409091,0,0,223.0272727,85.9,0,0,0,117.75,423.3045455,266,TRUE
107.5846154,273.6384615,0.252519231,0,0,0,103.9538462,296.0769231,0.2203,0.190423077,80.23846154,120.6,0,0,178.6192308,70.7,0,0,0,89.53461538,355.3615385,412,TRUE
165.61,400.3,0.28314,0,0,0,156.34,423.93,0.247615,0.20811,133.66,187.91,0,0,264.52,104.17,0,0,0,132.915,541.02,240,TRUE
90.97333333,229.2466667,0.267213333,0,0,0,88.76,238.1933333,0.236606667,0.205586667,80.2,120.7866667,0,0,150.2966667,62.57333333,0,0,0,82.79333333,319.6133333,352,TRUE
120.0307692,289.1384615,0.280569231,0,0,0,115.4615385,313.4230769,0.254130769,0.229415385,97.11538462,134.4230769,0,0,189.8576923,73.13076923,0,0,0,106.4461538,392.25,348,TRUE
111.2615385,281.8076923,0.291769231,0,0,0,105.1846154,283.5153846,0.262942308,0.236253846,99.20769231,145.5346154,0,0,192.2846154,69.32307692,0,0,0,103.9769231,393.2769231,410,TRUE
140.8181818,337.8,0.260672727,0,0,0,132.3272727,343.3818182,0.224781818,0.202609091,117.8181818,168.7090909,0,0,216.0590909,97.54545455,0,0,0,116.3227273,478.5272727,366,TRUE
126.1153846,313.5230769,0.240996154,0,0,0,120.9692308,348.1153846,0.212257692,0.182623077,87.15384615,134.9615385,0,0,216.9884615,77.23846154,0,0,0,111.2653846,387.7,266,FALSE
112.7428571,259.6857143,0.250742857,0,0,0,111.5857143,304.1571429,0.220425,0.194421429,87.19285714,138.1357143,0,0,201.1428571,63.12857143,0,0,0,99.46071429,349.1928571,354,TRUE
150.88,375.53,0.253845,0,0,0,144.12,408.9,0.22071,0.19089,121.87,177.805,0,0,237.16,95.43,0,0,0,124.16,494.715,308,TRUE
140.875,362.3083333,0.258475,0,0,0,129.0166667,360.7916667,0.2252625,0.193708333,98.2,143.3916667,0,0,240.8041667,72.85833333,0,0,0,106.5333333,450.0125,450,TRUE
112.9692308,284.0769231,0.257757692,0,0,0,109.0615385,301.4,0.225173077,0.190461538,86.08461538,126.8346154,0,0,189.4038462,54.13076923,0,0,0,89.10769231,376.6115385,284,TRUE
146,363.6909091,0.244795455,0,0,0,138.9636364,394.4363636,0.216586364,0.192727273,119.8181818,173.5181818,0,0,244.4227273,59.25454545,0,0,0,120.1318182,475.2863636,224,TRUE
111.3071429,280.2357143,0.255464286,0,0,0,102.6714286,284.2714286,0.223710714,0.193578571,88.22142857,129.2892857,0,0,183.8464286,54.47857143,0,0,0,90.28214286,368.2071429,472,FALSE
