Model,min,max,median,mean,sd,Model,min,max,median,mean,sd
rf,0.71657645108964,0.71657645108964,0.71657645108964,NA,0,rotationForestCp,0.673065386922616,0.673065386922616,0.673065386922616,NA,0
gamboost,0.716769812163528,0.716769812163528,0.716769812163528,NA,0,rf,0.675283037771766,0.675283037771766,0.675283037771766,NA,0
rotationForest,0.716885005994781,0.716885005994781,0.716885005994781,NA,0,RRFglobal,0.676534869858931,0.676534869858931,0.676534869858931,NA,0
ranger,0.71712808848767,0.71712808848767,0.71712808848767,NA,0,parRF,0.676729308276689,0.676729308276689,0.676729308276689,NA,0
parRF,0.71742500646496,0.71742500646496,0.71742500646496,NA,0,ranger,0.676966012159872,0.676966012159872,0.676966012159872,NA,0
cforest,0.720385781789971,0.720385781789971,0.720385781789971,NA,0,cforest,0.680999303274609,0.680999303274609,0.680999303274609,NA,0
msaenet,0.722320039024849,0.722320039024849,0.722320039024849,NA,0,gbm,0.682534900070302,0.682534900070302,0.682534900070302,NA,0
gbm,0.723231128194278,0.723231128194278,0.723231128194278,NA,0,Linda,0.683574616305649,0.683574616305649,0.683574616305649,NA,0
gaussprRadial,0.72750999130169,0.72750999130169,0.72750999130169,NA,0,gaussprRadial,0.687128912146523,0.687128912146523,0.687128912146523,NA,0
mlp,0.729919481862849,0.729919481862849,0.729919481862849,NA,0,mlp,0.692939895039113,0.692939895039113,0.692939895039113,NA,0
sda,0.730364917601147,0.730364917601147,0.730364917601147,NA,0,sda,0.693177310591035,0.693177310591035,0.693177310591035,NA,0
pda,0.731152819897971,0.731152819897971,0.731152819897971,NA,0,pda,0.694100148735746,0.694100148735746,0.694100148735746,NA,0
lda,0.731228577473729,0.731228577473729,0.731228577473729,NA,0,lda,0.694168980563269,0.694168980563269,0.694168980563269,NA,0
lda2,0.731228577473729,0.731228577473729,0.731228577473729,NA,0,lda2,0.694168980563269,0.694168980563269,0.694168980563269,NA,0
rda,0.731228577473729,0.731228577473729,0.731228577473729,NA,0,rda,0.694168980563269,0.694168980563269,0.694168980563269,NA,0
gaussprLinear,0.731500029855503,0.731500029855503,0.731500029855503,NA,0,mlpWeightDecayML,0.694516450648056,0.694516450648056,0.694516450648056,NA,0
mlpML,0.732134788537038,0.732134788537038,0.732134788537038,NA,0,svmLinear,0.69451958721571,0.69451958721571,0.69451958721571,NA,0
mlpWeightDecayML,0.732383042997861,0.732383042997861,0.732383042997861,NA,0,glmnet,0.694852573713143,0.694852573713143,0.694852573713143,NA,0
spls,0.73274984131462,0.73274984131462,0.73274984131462,NA,0,svmLinearWeights2,0.695226682644298,0.695226682644298,0.695226682644298,NA,0
glmStepAIC,0.732977114041893,0.732977114041893,0.732977114041893,NA,0,bayesglm,0.695418326693227,0.695418326693227,0.695418326693227,NA,0
bayesglm,0.733007323036415,0.733007323036415,0.733007323036415,NA,0,spls,0.696005550599663,0.696005550599663,0.696005550599663,NA,0
glmnet,0.733067858570186,0.733067858570186,0.733067858570186,NA,0,svmLinear2,0.69602470857826,0.69602470857826,0.69602470857826,NA,0
svmLinear,0.733158720643205,0.733158720643205,0.733158720643205,NA,0,svmLinearWeights,0.69602470857826,0.69602470857826,0.69602470857826,NA,0
svmLinearWeights2,0.733249700260949,0.733249700260949,0.733249700260949,NA,0,glmStepAIC,0.696212571881816,0.696212571881816,0.696212571881816,NA,0
svmLinear2,0.733580059712721,0.733580059712721,0.733580059712721,NA,0,mlpML,0.696303597831444,0.696303597831444,0.696303597831444,NA,0
