Model,min,max,median,mean,sd,Model,min,max,median,mean,sd,Model,min,max,median,mean,sd
nnls,0.069,0.089,0.081,0.08,0.006,blasso,0.031,0.038,0.034,0.034,0.002,brnn,0.233,0.787,0.433,0.441,0.129
ctree,0.056,0.091,0.072,0.072,0.008,simpls,0.032,0.038,0.035,0.035,0.002,monmlp,0.228,0.651,0.393,0.399,0.115
bagEarthGCV,0.058,0.091,0.072,0.073,0.008,kernelpls,0.032,0.038,0.035,0.035,0.002,kknn,0.222,0.535,0.403,0.409,0.078
ctree2,0.055,0.092,0.074,0.072,0.009,glm,0.032,0.038,0.035,0.035,0.002,rpart,0.22,0.615,0.39,0.379,0.098
rpart,0.058,0.092,0.076,0.076,0.009,lm,0.032,0.038,0.035,0.035,0.002,leapBackward,0.219,0.386,0.322,0.316,0.041
dnn,0.07,0.093,0.085,0.084,0.007,glmStepAIC,0.032,0.038,0.035,0.035,0.002,superpc,0.215,0.314,0.269,0.262,0.025
rpart1SE,0.056,0.096,0.076,0.077,0.01,lmStepAIC,0.032,0.038,0.035,0.035,0.002,nnls,0.21,0.329,0.272,0.277,0.03
svmLinear,0.073,0.098,0.089,0.087,0.008,ridge,0.032,0.038,0.035,0.035,0.002,pcr,0.206,0.302,0.26,0.257,0.023
svmLinear2,0.073,0.098,0.089,0.087,0.008,bayesglm,0.032,0.038,0.035,0.034,0.002,rpart1SE,0.206,0.561,0.385,0.378,0.091
partDSA,0.061,0.101,0.075,0.075,0.01,leapBackward,0.031,0.039,0.036,0.036,0.002,qrnn,0.198,0.535,0.41,0.4,0.105
rlm,0.078,0.104,0.095,0.093,0.008,pcr,0.033,0.039,0.036,0.036,0.001,icr,0.193,0.295,0.25,0.249,0.024
qrnn,0.058,0.11,0.074,0.076,0.011,monmlp,0.012,0.04,0.017,0.02,0.007,leapSeq,0.191,0.393,0.301,0.292,0.054
gcvEarth,0.059,0.112,0.085,0.085,0.011,bam,0.023,0.04,0.027,0.027,0.004,glm.nb,0.168,0.637,0.391,0.389,0.11
brnn,0.04,0.116,0.077,0.078,0.017,icr,0.034,0.04,0.036,0.036,0.001,gcvEarth,0.165,0.538,0.373,0.353,0.094
bam,0.069,0.207,0.086,0.092,0.029,dnn,0.032,0.042,0.036,0.037,0.003,dnn,0.131,0.21,0.172,0.172,0.022
monmlp,0.051,0.253,0.087,0.102,0.051,superpc,0.036,0.042,0.039,0.039,0.001,partDSA,0.077,0.52,0.362,0.352,0.1
gam,0.07,0.283,0.09,0.106,0.05,gam,0.023,0.047,0.027,0.029,0.005,bam,0.001,0.531,0.334,0.325,0.128
glm.nb,0.053,0.459,0.129,0.157,0.096,svmLinear3,0.042,0.054,0.047,0.047,0.003,gam,0,0.554,0.304,0.297,0.137
qrf,NA,NA,NA,NA,NA,qrf,NA,NA,NA,NA,NA,qrf,NA,NA,NA,NA,NA
randomGLM,NA,NA,NA,NA,NA,randomGLM,NA,NA,NA,NA,NA,randomGLM,NA,NA,NA,NA,NA
